lemme;upos;freqlemfilms;freqlemlivres
leurs;ADJ:pos;243,56;886,55
rencontrer;VER;241,04;188,51
coeur;NOM;239,97;400,74
voler;VER;238,82;88,65
fermer;VER;238,65;197,16
car;CON;237,20;469,32
valoir;VER;236,07;175,74
descendre;VER;235,97;301,62
ok;ADJ;234,89;1,15
feu;NOM;233,96;236,15
docteur;NOM;233,86;87,36
suffire;VER;232,08;159,39
façon;NOM;230,48;277,30
nouveau;NOM;229,97;292,43
important;ADJ;229,36;86,76
sembler;VER;229,25;572,84
compter;VER;227,78;203,72
vers;PRE;227,77;956,15
joli;ADJ;226,45;120,00
point;NOM;225,32;323,58
avant;ADV;224,38;117,70
hier;ADV;223,77;92,64
chien;NOM;223,53;184,59
dont;PRO:int;223,41;960,34
dont;PRO:rel;223,41;960,34
petit;NOM;221,75;169,66
guerre;NOM;221,65;354,59
genre;NOM;221,51;157,91
merde;ONO;221,46;33,85
meilleur;ADJ;221,17;86,82
marier;VER;220,51;65,07
arme;NOM;220,22;111,49
cause;NOM;218,60;197,30
endroit;NOM;218,24;137,57
ordre;NOM;217,25;235,34
poser;VER;217,20;409,05
reste;NOM;214,54;168,58
pied;NOM;214,08;486,42
envie;NOM;213,96;258,11
fin;NOM;213,37;314,53
merde;NOM;213,05;62,77
tiens;ONO;212,99;81,89
inquiéter;VER;212,16;71,01
bouger;VER;211,90;156,76
plutôt;ADV;210,40;280,74
une;PRO:ind;210,01;199,93
apporter;VER;209,91;159,32
nouveau;ADJ;209,45;185,61
pardon;ONO;209,13;18,04
photo;NOM;209,10;94,59
plein;ADJ;208,75;370,41
devant;PRE;208,19;690,34
décider;VER;207,76;214,19
ainsi;ADV;207,68;469,46
droit;NOM;207,62;163,72
aucune;ADJ:ind;207,00;174,73
vendre;VER;206,95;92,64
école;NOM;206,88;143,99
cher;ADJ;205,75;133,65
chef;NOM;205,26;205,95
tourner;VER;204,15;377,09
cacher;VER;204,13;181,89
salut;ONO;203,10;6,55
boulot;NOM;202,97;35,61
pays;NOM;202,57;241,55
ceux;PRO:dem;202,02;309,86
possible;ADJ;201,41;211,96
expliquer;VER;200,93;233,92
battre;VER;200,35;182,36
peine;NOM;199,75;399,53
livre;NOM;198,11;286,49
agir;VER;195,94;219,73
imaginer;VER;194,29;241,15
tour;NOM;193,82;308,72
après;ADV;193,68;137,23
adorer;VER;193,67;44,59
vérité;NOM;193,24;140,88
recevoir;VER;192,73;224,46
gentil;ADJ;192,64;64,86
jeter;VER;192,18;336,82
pleurer;VER;191,64;163,31
bébé;NOM;191,63;45,20
partie;NOM;191,19;211,49
nouvelle;ADJ;191,15;172,50
jeu;NOM;190,44;173,31
amener;VER;190,32;93,92
instant;NOM;189,41;340,20
parent;NOM;188,38;146,35
dur;ADJ;187,84;146,69
service;NOM;187,67;142,77
plaisir;NOM;186,37;233,85
promettre;VER;185,26;101,42
mentir;VER;185,16;52,03
soeur;NOM;184,99;161,01
bientôt;ADV;184,96;169,59
lit;NOM;184,27;338,18
tellement;ADV;183,70;168,51
utiliser;VER;182,44;43,51
lieu;NOM;182,00;267,57
coucher;VER;181,96;196,22
presque;ADV;181,81;465,54
dehors;ADV;180,79;109,05
préférer;VER;179,44;133,38
content;ADJ;178,94;86,49
pauvre;ADJ;178,03;187,77
offrir;VER;177,80;213,99
roi;NOM;177,53;98,92
verre;NOM;176,57;230,07
réveiller;VER;175,94;125,41
aucun;ADJ:ind;175,78;180,95
aide;NOM;175,59;55,54
d'abord;ADV;175,45;169,32
journée;NOM;174,89;179,39
préparer;VER;174,33;154,12
numéro;NOM;173,48;70,07
permettre;VER;172,86;184,19
en;ADV;172,75;212,09
ramener;VER;172,70;109,26
enlever;VER;172,47;78,78
chéri;NOM;171,98;36,28
fort;ADV;171,91;212,77
lâcher;VER;171,08;89,19
choisir;VER;170,48;133,92
musique;NOM;169,80;114,32
conduire;VER;169,64;144,66
faute;NOM;169,26;95,20
calmer;VER;168,54;45,07
mariage;NOM;167,39;78,72
comment;ONO;167,22;13,99
bureau;NOM;167,13;150,07
route;NOM;166,72;288,04
chanter;VER;166,34;125,81
disparaître;VER;166,13;183,31
lever;VER;165,98;440,74
présenter;VER;165,88;135,14
accepter;VER;165,84;144,66
sinon;CON;164,85;89,26
long;ADJ;164,02;444,86
café;NOM;163,56;177,30
propre;ADJ;163,24;207,50
confiance;NOM;162,90;91,96
revoir;VER;162,84;139,46
cinq;ADJ:num;161,96;220,61
bonsoir;NOM;161,17;22,23
compte;NOM;160,95;208,38
téléphone;NOM;160,80;96,82
casser;VER;160,61;92,70
prochain;ADJ;160,27;59,32
frapper;VER;160,04;168,31
facile;ADJ;159,35;98,65
attention;ONO;159,10;21,35
rêve;NOM;158,75;128,58
copain;NOM;158,62;103,38
attention;NOM;158,52;124,53
malade;ADJ;158,27;73,92
rue;NOM;157,81;562,97
lettre;NOM;156,77;256,01
ignorer;VER;156,55;108,45
fête;NOM;155,97;94,05
couper;VER;155,82;140,88
esprit;NOM;155,82;216,28
super;ADJ;154,83;7,09
taire;VER;154,46;139,80
seigneur;NOM;153,82;60,14
flic;NOM;153,50;72,43
parfois;ADV;152,86;287,36
capitaine;NOM;152,69;92,57
âge;NOM;152,59;217,43
autant;ADV;152,16;240,41
force;NOM;151,96;344,73
pièce;NOM;151,10;276,35
quatre;ADJ:num;150,93;282,64
cul;NOM;150,81;68,31
difficile;ADJ;150,58;118,11
bras;NOM;149,26;487,97
tromper;VER;149,09;97,30
surtout;ADV;148,66;291,49
ressembler;VER;148,62;157,50
jurer;VER;148,41;81,76
plan;NOM;147,54;88,99
prison;NOM;147,49;72,43
depuis;ADV;147,19;114,05
sale;ADJ;146,86;102,03
courir;VER;146,50;263,38
premier;NOM;145,76;173,92
vieux;NOM;145,73;185,81
état;NOM;145,72;218,18
