lemme;upos;freqlemfilms;freqlemlivres
quatre-vingt-treize;ADJ:num;0,11;0,95
quiscale;NOM;0,11;0,00
rachitique;NOM;0,11;0,20
radiogramme;NOM;0,11;0,07
radouber;VER;0,11;0,14
rallié;ADJ;0,11;0,81
ram;NOM;0,11;0,07
raplapla;ADJ;0,11;0,00
rationalité;NOM;0,11;0,27
reader;NOM;0,11;0,07
refoutre;VER;0,11;0,95
rehausseur;NOM;0,11;0,00
remontant;ADJ;0,11;0,61
reposé;NOM;0,11;0,74
ricanant;ADJ;0,11;1,89
rogaton;NOM;0,11;1,15
romani;NOM;0,11;0,07
rotond;NOM;0,11;1,22
rouvert;ADJ;0,11;0,20
rucher;NOM;0,11;0,20
ruminant;NOM;0,11;1,08
réaligner;VER;0,11;0,00
régularisation;NOM;0,11;0,14
réimplanter;VER;0,11;0,00
rétroprojecteur;NOM;0,11;0,07
rétréci;ADJ;0,11;1,62
sacro;ADV;0,11;0,68
sagace;ADJ;0,11;1,55
salopiot;NOM;0,11;0,74
sandiniste;NOM;0,11;0,00
sanskrit;NOM;0,11;0,14
sapeur-pompier;NOM;0,11;0,61
sarment;NOM;0,11;1,28
satiné;ADJ;0,11;1,35
sautillant;ADJ;0,11;2,57
scratch;ADJ;0,11;0,14
semeuse;NOM;0,11;0,47
septante;ADJ:num;0,11;0,07
shimmy;NOM;0,11;0,20
sidéral;ADJ;0,11;0,88
sinon;ADV;0,11;0,27
slibard;NOM;0,11;0,47
solénoïde;NOM;0,11;0,00
sophistique;ADJ;0,11;0,00
sororité;NOM;0,11;0,14
soue;NOM;0,11;0,34
sous-effectif;NOM;0,11;0,00
sous-espèce;NOM;0,11;0,00
sous-prolétaire;NOM;0,11;0,07
sous-tasse;NOM;0,11;0,20
spleen;NOM;0,11;1,55
spécieux;ADJ;0,11;0,41
staphylocoque;NOM;0,11;0,00
statutaire;ADJ;0,11;0,00
stylistique;ADJ;0,11;0,20
stérilet;NOM;0,11;0,61
submersible;ADJ;0,11;0,07
subsidiaire;ADJ;0,11;0,20
superstructure;NOM;0,11;1,35
surqualifié;ADJ;0,11;0,00
suspensoir;NOM;0,11;0,14
sustenter;VER;0,11;0,68
symptomatologie;NOM;0,11;0,00
ségrégationniste;ADJ;0,11;0,00
sénégalais;ADJ;0,11;3,24
séquenceur;NOM;0,11;0,00
tabloïde;NOM;0,11;0,07
tantra;NOM;0,11;0,00
tantôt;NOM;0,11;1,08
tapageur;NOM;0,11;0,07
tchin-tchin;ONO;0,11;0,14
teck;NOM;0,11;0,34
teutonique;ADJ;0,11;0,88
tirée;NOM;0,11;0,68
tommy;NOM;0,11;0,00
toquard;NOM;0,11;0,41
traceur;ADJ;0,11;0,20
traditionalisme;NOM;0,11;0,54
transformateur;ADJ;0,11;0,14
transmuer;VER;0,11;0,54
transsibérien;NOM;0,11;0,07
travée;NOM;0,11;3,65
trimeur;NOM;0,11;0,14
tritium;NOM;0,11;0,00
trucmuche;NOM;0,11;0,14
ténia;NOM;0,11;0,68
vachère;NOM;0,11;0,61
vadrouilleur;NOM;0,11;0,14
vanity-case;NOM;0,11;0,14
vaquero;NOM;0,11;0,07
vautré;ADJ;0,11;0,54
veiné;ADJ;0,11;1,01
ventrée;NOM;0,11;0,54
verdâtre;ADJ;0,11;9,73
vibratoire;ADJ;0,11;0,47
viennois;NOM;0,11;0,68
vina;NOM;0,11;0,00
virginie;NOM;0,11;31,28
vissé;ADJ;0,11;0,20
vivandier;NOM;0,11;0,34
vénusien;ADJ;0,11;0,20
zazou;NOM;0,11;0,88
zinnia;NOM;0,11;0,34
zoulou;NOM;0,11;0,07
âcreté;NOM;0,11;0,95
ébène;ADJ;0,11;0,20
écailler;NOM;0,11;0,27
éclaircie;NOM;0,11;3,31
édénique;ADJ;0,11;0,34
électromagnétisme;NOM;0,11;0,00
éligible;ADJ;0,11;0,20
émergent;ADJ;0,11;0,41
épandage;NOM;0,11;0,47
épiscopalien;ADJ;0,11;0,00
épointer;VER;0,11;0,20
équidistance;NOM;0,11;0,00
éthologie;NOM;0,11;0,07
étique;ADJ;0,11;0,68
étriller;VER;0,11;1,15
abjectement;ADV;0,10;0,07
abyssinien;ADJ;0,10;0,00
accra;NOM;0,10;0,00
activateur;NOM;0,10;0,00
adaptable;ADJ;0,10;0,20
adulateur;NOM;0,10;0,07
affolant;ADJ;0,10;2,57
africanisme;NOM;0,10;0,00
agit-prop;NOM;0,10;0,00
agreste;ADJ;0,10;0,81
aicher;VER;0,10;0,00
ajutage;NOM;0,10;0,00
alfa;NOM;0,10;1,01
allusivement;ADV;0,10;0,14
allégoriquement;ADV;0,10;0,07
almohade;NOM;0,10;0,14
alpestre;ADJ;0,10;0,47
amanite;NOM;0,10;0,27
amerlo;NOM;0,10;0,47
aminci;ADJ;0,10;0,47
amincissement;NOM;0,10;0,14
anacoluthe;NOM;0,10;0,07
angevin;ADJ;0,10;0,07
anglophone;ADJ;0,10;0,14
angolais;NOM;0,10;0,00
antagoniste;ADJ;0,10;0,88
anti-bombe;NOM;0,10;0,07
anti-gouvernement;NOM;0,10;0,00
anti-mite;NOM;0,10;0,14
anticapitaliste;ADJ;0,10;0,14
anticommunisme;NOM;0,10;0,88
antidépresseur;ADJ;0,10;0,07
antillais;ADJ;0,10;0,61
antinazi;ADJ;0,10;0,07
antipsychotique;NOM;0,10;0,00
antisocial;NOM;0,10;0,00
antitoxique;ADJ;0,10;0,00
apiculteur;NOM;0,10;0,07
apostolat;NOM;0,10;1,08
aquatinte;NOM;0,10;0,00
arabesque;NOM;0,10;4,53
araser;VER;0,10;0,14
arbouse;NOM;0,10;0,41
arcadien;ADJ;0,10;0,20
argonaute;NOM;0,10;0,07
arme-miracle;NOM;0,10;0,00
aromatique;ADJ;0,10;0,74
arrachage;NOM;0,10;0,27
arrangeant;ADJ;0,10;0,47
arrangeur;NOM;0,10;0,07
aréopage;NOM;0,10;1,08
asdic;NOM;0,10;0,07
asocial;NOM;0,10;0,54
asphyxié;ADJ;0,10;1,08
aspirateur;ADJ;0,10;0,20
assertion;NOM;0,10;1,42
assoupissement;NOM;0,10;1,01
assurance-accidents;NOM;0,10;0,00
ataman;NOM;0,10;0,14
athénienne;NOM;0,10;0,41
attendrissement;NOM;0,10;7,64
attrape-nigaud;NOM;0,10;0,20
aube;PRE;0,10;0,00
auto-pilote;NOM;0,10;0,00
autocratie;NOM;0,10;0,07
automitrailleur;NOM;0,10;1,76
automutiler;VER;0,10;0,00
avant-coureur;NOM;0,10;0,27
avant-gauche;ADJ;0,10;0,00
aviculture;NOM;0,10;0,00
azulejo;NOM;0,10;0,54
babylonien;ADJ;0,10;0,47
badauder;VER;0,10;0,41
balsamique;ADJ;0,10;0,47
banderillero;NOM;0,10;0,07
baragouinage;NOM;0,10;0,00
barattage;NOM;0,10;0,00
baronnet;NOM;0,10;0,34
barrir;VER;0,10;0,54
baster;VER;0,10;0,20
bec-de-lièvre;NOM;0,10;0,61
becqueter;VER;0,10;1,89
bectance;NOM;0,10;0,95
benzonaphtol;NOM;0,10;0,00
bief;NOM;0,10;0,61
bienveillamment;ADV;0,10;0,00
biguine;NOM;0,10;0,34
biomédical;ADJ;0,10;0,00
bornage;NOM;0,10;0,61
boudine;NOM;0,10;0,00
boulange;NOM;0,10;0,27
boulocher;VER;0,10;0,00
boulonner;VER;0,10;0,61
breakdance;NOM;0,10;0,00
brillantine;NOM;0,10;1,96
brimade;NOM;0,10;2,91
bristol;NOM;0,10;1,55
brout;NOM;0,10;0,81
brumaire;NOM;0,10;0,27
brésil;NOM;0,10;0,20
brûlage;NOM;0,10;0,20
burgonde;ADJ;0,10;0,07
cadastrer;VER;0,10;0,14
cadi;NOM;0,10;2,30
cajoleur;NOM;0,10;0,20
calaison;NOM;0,10;0,00
calancher;VER;0,10;0,41
calcif;NOM;0,10;0,74
calculatrice;ADJ;0,10;0,20
calorique;ADJ;0,10;0,07
calvinisme;NOM;0,10;0,07
cancanier;ADJ;0,10;0,14
canna;NOM;0,10;0,54
capitan;NOM;0,10;0,81
capitole;NOM;0,10;0,07
capricieusement;ADV;0,10;0,74
cardio-respiratoire;ADJ;0,10;0,00
carolus;NOM;0,10;0,00
cartographier;VER;0,10;0,07
cartothèque;NOM;0,10;0,00
casse-bonbon;NOM;0,10;0,00
casse-gueule;NOM;0,10;0,07
castagner;VER;0,10;0,68
centigramme;NOM;0,10;0,00
chachlik;NOM;0,10;0,07
chape;NOM;0,10;2,23
chardonneret;NOM;0,10;0,34
chauffe-biberon;NOM;0,10;0,00
chevillette;NOM;0,10;0,07
chilom;NOM;0,10;0,00
chiricahua;ADJ;0,10;0,00
choupette;NOM;0,10;0,00
chronologiquement;ADV;0,10;0,27
chrysalide;NOM;0,10;0,68
civilisateur;ADJ;0,10;0,34
claquage;NOM;0,10;0,07
clic-clac;ONO;0,10;0,07
clownesque;ADJ;0,10;0,41
coffee shop;NOM;0,10;0,00
collusion;NOM;0,10;0,74
colonialiste;ADJ;0,10;0,34
colophaner;VER;0,10;0,00
combinatoire;ADJ;0,10;0,41
communard;NOM;0,10;0,88
communicant;ADJ;0,10;0,61
compartimenter;VER;0,10;0,27
composite;NOM;0,10;0,00
compressé;ADJ;0,10;0,68
conciliateur;NOM;0,10;0,14
condé;NOM;0,10;6,49
congestionné;ADJ;0,10;2,43
constitutionnaliste;NOM;0,10;0,00
contagieux;NOM;0,10;0,34
contemplatif;ADJ;0,10;1,42
continence;NOM;0,10;0,61
contre-plaqué;NOM;0,10;0,54
contre-productif;ADJ;0,10;0,00
conventuel;ADJ;0,10;0,68
convoyage;NOM;0,10;0,20
coopérant;NOM;0,10;0,14
coquelet;NOM;0,10;0,07
coramine;NOM;0,10;0,07
couardise;NOM;0,10;0,54
coupe-coupe;NOM;0,10;0,68
couturer;VER;0,10;1,28
criminaliste;NOM;0,10;0,00
crispin;NOM;0,10;0,20
cryptographie;NOM;0,10;0,07
crépitant;ADJ;0,10;1,35
cuiseur;NOM;0,10;0,00
curiste;NOM;0,10;0,95
cybernéticien;ADJ;0,10;0,00
cyclothymie;NOM;0,10;0,07
câlinerie;NOM;0,10;0,61
céphalée;NOM;0,10;0,00
césarien;ADJ;0,10;0,07
dactylographe;NOM;0,10;0,34
daguerréotype;NOM;0,10;0,34
damage;NOM;0,10;0,00
de;ART:def;0,10;0,00
de santis;NOM;0,10;0,00
decrescendo;NOM;0,10;0,14
demi-paralysé;ADJ;0,10;0,00
diocésain;ADJ;0,10;0,14
directeur-adjoint;ADJ;0,10;0,00
disjoindre;VER;0,10;1,49
distordre;VER;0,10;0,61
dogmatisme;NOM;0,10;0,34
doigter;VER;0,10;0,07
dolichocéphale;ADJ;0,10;0,20
dopage;NOM;0,10;0,00
dragonnier;NOM;0,10;0,00
drosophile;NOM;0,10;0,00
dysthymie;NOM;0,10;0,07
décantation;NOM;0,10;0,07
déferrer;VER;0,10;0,07
déficitaire;ADJ;0,10;0,34
dégourdi;NOM;0,10;0,41
dégénération;NOM;0,10;0,00
déisme;NOM;0,10;0,00
démocrate-chrétien;NOM;0,10;0,27
démystification;NOM;0,10;0,07
dépareiller;VER;0,10;0,68
dépiauter;VER;0,10;2,03
dépolitiser;VER;0,10;0,07
dérisoirement;ADV;0,10;0,54
désagrégation;NOM;0,10;1,35
désapprendre;VER;0,10;0,95
déshumidification;NOM;0,10;0,00
désillusionnement;NOM;0,10;0,00
désindividualisation;NOM;0,10;0,00
désinfectant;ADJ;0,10;0,14
détacheur;NOM;0,10;0,00
déterministe;ADJ;0,10;0,14
déterministe;NOM;0,10;0,07
détrempe;NOM;0,10;0,14
dévalorisant;ADJ;0,10;0,00
effaceur;NOM;0,10;0,00
embourgeoisé;NOM;0,10;0,07
embrassant;ADJ;0,10;0,41
embrasure;NOM;0,10;7,16
emmagasiné;ADJ;0,10;0,20
empaumure;NOM;0,10;0,20
enamouré;ADJ;0,10;0,20
encaisse;NOM;0,10;0,20
encrer;VER;0,10;0,61
enfantinement;ADV;0,10;0,41
enfançon;NOM;0,10;0,34
enfourchure;NOM;0,10;0,07
engoulevent;NOM;0,10;0,14
enneigement;NOM;0,10;0,00
entre-deux-guerres;NOM;0,10;0,74
esbroufer;VER;0,10;0,14
espacement;NOM;0,10;0,34
esquimaud;ADJ;0,10;0,07
essieux;NOM;0,10;0,95
estonienne;NOM;0,10;0,00
ethnographe;NOM;0,10;0,07
ethnographique;ADJ;0,10;0,07
eurafricain;ADJ;0,10;0,07
ex-démon;NOM;0,10;0,00
ex-mec;NOM;0,10;0,00
exemplairement;ADV;0,10;0,07
exemplifier;VER;0,10;0,00
expansionniste;NOM;0,10;0,07
exploratoire;ADJ;0,10;0,07
exproprié;NOM;0,10;0,00
extensible;ADJ;0,10;0,61
extra-utérin;ADJ;0,10;0,00
extraconjugal;ADJ;0,10;0,07
exténuation;NOM;0,10;0,00
faignanter;VER;0,10;0,00
faillie;ADJ;0,10;0,07
faix;NOM;0,10;0,68
fathma;NOM;0,10;0,07
fauchaison;NOM;0,10;0,20
feedback;NOM;0,10;0,07
fellinien;ADJ;0,10;0,00
ferblantier;NOM;0,10;0,34
ferlage;NOM;0,10;0,00
feuillette;NOM;0,10;1,08
feuillu;NOM;0,10;0,14
feuler;VER;0,10;0,54
fifre;NOM;0,10;2,09
flagellé;NOM;0,10;0,34
flétrissement;NOM;0,10;0,00
flûtiau;NOM;0,10;0,07
foisonnant;ADJ;0,10;0,88
fonts;NOM;0,10;1,08
forlane;NOM;0,10;0,00
fouger;VER;0,10;0,00
francfort;NOM;0,10;0,14
frigide;NOM;0,10;0,20
frison;NOM;0,10;0,54
fronton;NOM;0,10;5,47
futaine;NOM;0,10;0,00
futurologue;NOM;0,10;0,00
fécondateur;NOM;0,10;0,00
fêle;NOM;0,10;0,00
gabare;NOM;0,10;0,20
gaffeur;NOM;0,10;0,14
gaillardement;ADV;0,10;0,95
galber;VER;0,10;0,47
galeriste;NOM;0,10;0,00
gauchement;ADV;0,10;3,45
geignant;ADJ;0,10;0,74
giaour;NOM;0,10;0,54
glacialement;ADV;0,10;0,07
glisse-la-moi;NOM;0,10;0,00
gloriette;NOM;0,10;0,34
golem;NOM;0,10;0,07
gosplan;NOM;0,10;0,07
goy;ADJ;0,10;0,20
grand-maître;NOM;0,10;0,07
grattage;NOM;0,10;0,41
gravillon;NOM;0,10;1,22
gray;NOM;0,10;0,07
gribouille;NOM;0,10;0,47
grignotage;NOM;0,10;0,34
grimpant;NOM;0,10;0,34
groenlandais;ADJ;0,10;0,07
grognant;ADJ;0,10;0,27
guelfe;NOM;0,10;0,20
guindant;NOM;0,10;0,00
gulden;NOM;0,10;0,00
géographe;NOM;0,10;0,95
géographiquement;ADV;0,10;0,47
gésine;NOM;0,10;0,34
hanséatique;ADJ;0,10;0,00
harenguier;NOM;0,10;0,00
harengère;NOM;0,10;0,14
hasardé;ADJ;0,10;0,07
hem;ONO;0,10;0,20
herbage;NOM;0,10;1,35
hertzien;ADJ;0,10;0,07
hippomobile;ADJ;0,10;0,00
hitlérien;NOM;0,10;1,15
hochement;NOM;0,10;5,68
homologation;NOM;0,10;0,20
hostellerie;NOM;0,10;1,22
houri;NOM;0,10;0,61
houseau;NOM;0,10;1,08
huilier;NOM;0,10;0,07
hulotte;NOM;0,10;0,61
hyade;NOM;0,10;0,07
hydrolase;NOM;0,10;0,00
hydrophile;ADJ;0,10;1,01
hématologie;NOM;0,10;0,07
hémophile;ADJ;0,10;0,07
idéologiquement;ADV;0,10;0,27
imagé;ADJ;0,10;1,01
immanquablement;ADV;0,10;3,24
immixtion;NOM;0,10;0,54
impondérable;NOM;0,10;0,61
imprévoyance;NOM;0,10;0,47
incollable;ADJ;0,10;0,14
incube;NOM;0,10;0,14
indivis;ADJ;0,10;0,34
indochinois;NOM;0,10;0,34
indéfini;NOM;0,10;0,00
indépendantisme;NOM;0,10;0,00
inemploi;NOM;0,10;0,00
inexpiable;ADJ;0,10;0,54
inexprimé;ADJ;0,10;0,47
infléchir;VER;0,10;2,77
informatif;ADJ;0,10;0,00
inquisitorial;ADJ;0,10;0,54
insensiblement;ADV;0,10;10,41
insinuant;ADJ;0,10;2,09
intermezzo;NOM;0,10;0,07
intériorité;NOM;0,10;0,41
inviolé;ADJ;0,10;0,34
isotonique;ADJ;0,10;0,00
jan;NOM;0,10;0,61
jaunâtre;ADJ;0,10;9,93
jeu-concours;NOM;0,10;0,14
jeune-homme;ADJ;0,10;0,00
jonchée;NOM;0,10;1,89
journalière;NOM;0,10;0,00
jouter;VER;0,10;0,00
juiverie;NOM;0,10;0,61
justiciable;ADJ;0,10;0,47
kachoube;ADJ;0,10;0,00
katangais;NOM;0,10;0,14
kazakh;NOM;0,10;0,00
kilotonne;NOM;0,10;0,14
kérabau;NOM;0,10;0,00
lacéré;ADJ;0,10;1,22
landing;NOM;0,10;0,00
languette;NOM;0,10;0,81
lanterner;VER;0,10;0,20
laryngoscopie;NOM;0,10;0,00
latino-américain;NOM;0,10;0,07
laxatif;ADJ;0,10;0,14
letton;ADJ;0,10;0,34
leucocyte;NOM;0,10;0,20
libératoire;ADJ;0,10;0,07
lipothymie;NOM;0,10;0,00
locomotif;ADJ;0,10;2,70
loggia;NOM;0,10;3,85
lolita;NOM;0,10;0,07
lubrifiant;ADJ;0,10;0,07
lumineusement;ADV;0,10;0,27
luxuriance;NOM;0,10;0,47
lycanthrope;NOM;0,10;0,00
lévite;NOM;0,10;0,54
magister;NOM;0,10;1,08
magyar;NOM;0,10;0,00
maigrelet;ADJ;0,10;1,01
malaire;ADJ;0,10;0,00
mamba;NOM;0,10;0,00
mamzelle;NOM;0,10;0,07
mandant;NOM;0,10;0,34
mansarder;VER;0,10;0,41
manufacturier;NOM;0,10;0,00
maquereautage;NOM;0,10;0,14
maquerellage;NOM;0,10;0,00
marmouset;NOM;0,10;0,07
marner;VER;0,10;1,15
marsupial;NOM;0,10;0,00
matheux;NOM;0,10;0,27
mercantile;ADJ;0,10;0,95
mi-moyen;ADJ;0,10;0,07
mi-oiseau;NOM;0,10;0,00
microcéphale;NOM;0,10;0,07
microseconde;NOM;0,10;0,00
millefeuille;NOM;0,10;0,54
minimaliste;ADJ;0,10;0,00
molletière;NOM;0,10;3,18
mongo;ADJ;0,10;0,07
monocoque;ADJ;0,10;0,00
monodie;NOM;0,10;0,07
monolinguisme;NOM;0,10;0,00
monoplan;NOM;0,10;0,47
monotonement;ADV;0,10;0,41
morphinomane;NOM;0,10;0,07
moyer;VER;0,10;0,00
mozarabe;NOM;0,10;0,00
mudéjar;ADJ;0,10;0,20
multiculturel;ADJ;0,10;0,00
multipartite;ADJ;0,10;0,00
munichois;ADJ;0,10;0,14
mythomanie;NOM;0,10;0,61
médaillé;ADJ;0,10;0,20
médicamenteux;ADJ;0,10;0,07
mémorandum;NOM;0,10;2,91
mésestimer;VER;0,10;0,20
métastaser;VER;0,10;0,07
mêmement;ADV;0,10;0,34
mûrissement;NOM;0,10;0,54
n'est-ce pas;ADV;0,10;0,00
naphte;NOM;0,10;0,27
navarin;NOM;0,10;0,27
navarrais;ADJ;0,10;0,00
navarrais;NOM;0,10;0,61
nettoyant;ADJ;0,10;0,07
neurasthénique;NOM;0,10;0,20
nobiliaire;ADJ;0,10;0,95
nobilitas;NOM;0,10;0,00
nommément;ADV;0,10;0,47
non-amour;NOM;0,10;0,00
non-assistance;NOM;0,10;0,07
non-croyance;NOM;0,10;0,00
non-paiement;NOM;0,10;0,07
nucléus;NOM;0,10;0,00
nutritionnel;ADJ;0,10;0,07
nymphette;NOM;0,10;0,68
nébulosité;NOM;0,10;0,14
négus;NOM;0,10;1,55
néo-réalisme;NOM;0,10;0,07
occidentalisation;NOM;0,10;0,14
occire;VER;0,10;0,41
odomètre;NOM;0,10;0,00
oint;NOM;0,10;0,27
oiseau-mouche;NOM;0,10;0,27
oisif;NOM;0,10;1,28
onanisme;NOM;0,10;0,47
ondoyant;ADJ;0,10;1,15
orphéon;NOM;0,10;0,95
orpiment;NOM;0,10;0,00
orthopédiste;NOM;0,10;0,00
otospongiose;NOM;0,10;0,00
outilleur;NOM;0,10;0,00
outrageux;ADJ;0,10;0,27
oxyder;VER;0,10;0,61
oyant;ADJ;0,10;0,00
palanche;NOM;0,10;0,14
pantelant;ADJ;0,10;3,24
parador;NOM;0,10;0,14
paralympique;NOM;0,10;0,00
paraphe;NOM;0,10;1,55
parareligieux;ADJ;0,10;0,00
parasiticide;ADJ;0,10;0,00
passementier;NOM;0,10;0,14
pasteurisation;NOM;0,10;0,14
pater noster;NOM;0,10;0,41
patène;NOM;0,10;0,34
peccavi;NOM;0,10;0,14
pelloche;NOM;0,10;0,20
perfidement;ADV;0,10;0,61
pergola;NOM;0,10;0,68
petit-pois;NOM;0,10;0,00
phosphatine;NOM;0,10;0,07
phylloxera;NOM;0,10;0,00
phylloxéra;NOM;0,10;0,47
physiologiste;ADJ;0,10;0,00
phénobarbital;NOM;0,10;0,00
pianissimo;NOM;0,10;0,14
pianotage;NOM;0,10;0,07
pilotin;NOM;0,10;0,00
pinçage;NOM;0,10;0,00
pirouetter;VER;0,10;0,81
pisan;ADJ;0,10;0,07
pissat;NOM;0,10;0,41
pisse-froid;NOM;0,10;0,34
plain-chant;NOM;0,10;0,27
plan-séquence;NOM;0,10;0,00
pleurite;NOM;0,10;0,07
plurinational;ADJ;0,10;0,00
pluvial;ADJ;0,10;0,00
plâtrier;NOM;0,10;1,01
poilant;ADJ;0,10;0,14
policlinique;NOM;0,10;0,00
porphyre;NOM;0,10;1,49
porte-clé;NOM;0,10;0,00
porte-glaive;NOM;0,10;1,01
positiviste;NOM;0,10;0,00
posément;ADV;0,10;8,38
poujadiste;NOM;0,10;0,20
poupoule;NOM;0,10;0,74
pourfendre;VER;0,10;1,01
pourlécher;VER;0,10;1,35
poêler;VER;0,10;0,14
praesidium;NOM;0,10;0,14
praxie;NOM;0,10;0,00
prestidigitation;NOM;0,10;0,41
priant;ADJ;0,10;0,00
primitivisme;NOM;0,10;0,14
prin;NOM;0,10;0,14
probité;NOM;0,10;1,89
prolifère;ADJ;0,10;0,00
propolis;NOM;0,10;0,00
proroger;VER;0,10;0,14
prospecteur;ADJ;0,10;0,07
protège-dents;NOM;0,10;0,27
préau;NOM;0,10;4,59
précipité;NOM;0,10;1,08
préhension;NOM;0,10;0,07
présénile;ADJ;0,10;0,00
psychosociologue;NOM;0,10;0,00
puncture;NOM;0,10;0,00
pygmée;ADJ;0,10;0,14
pâlissant;ADJ;0,10;0,74
péplum;NOM;0,10;0,54
péricliter;VER;0,10;1,01
pétarader;VER;0,10;1,55
péteux;ADJ;0,10;0,27
pétéchial;ADJ;0,10;0,00
qu'en-dira-t-on;NOM;0,10;0,41
quantitativement;ADV;0,10;0,00
quarante-cinquième;ADJ;0,10;0,07
quarante-quatre;ADJ:num;0,10;0,88
quasi-monopole;NOM;0,10;0,00
quatre-vingt-onze;ADJ:num;0,10;0,34
quatre-vingt-quatorze;ADJ:num;0,10;0,07
quatre-vingt-seize;ADJ:num;0,10;0,07
quattrocento;NOM;0,10;0,27
questure;NOM;0,10;0,00
quinquennat;NOM;0,10;0,00
raboteux;ADJ;0,10;0,88
rabâchage;NOM;0,10;0,34
rachianesthésie;NOM;0,10;0,00
radicalisation;NOM;0,10;0,14
radio-réveil;NOM;0,10;0,14
radiogoniométrique;ADJ;0,10;0,00
radiographier;VER;0,10;0,34
radiotélescope;NOM;0,10;0,00
radiotéléphonie;NOM;0,10;0,00
raft;NOM;0,10;0,07
raga;NOM;0,10;0,00
raout;NOM;0,10;0,74
raïa;NOM;0,10;0,00
reboisement;NOM;0,10;0,14
recalculer;VER;0,10;0,07
recombiner;VER;0,10;0,00
reconquis;ADJ;0,10;0,47
redistribution;NOM;0,10;0,41
refroidisseur;NOM;0,10;0,00
regardable;ADJ;0,10;0,74
relégation;NOM;0,10;0,68
remariage;NOM;0,10;0,54
renfiler;VER;0,10;0,88
repiquage;NOM;0,10;0,61
resquilleur;ADJ;0,10;0,07
resserrage;NOM;0,10;0,00
retiro;NOM;0,10;0,07
rhinoscopie;NOM;0,10;0,00
robotiser;VER;0,10;0,20
rosette;NOM;0,10;2,03
rotonde;NOM;0,10;0,47
roublard;ADJ;0,10;0,74
rougeaud;NOM;0,10;0,74
rousseler;VER;0,10;0,00
rustine;NOM;0,10;1,69
réarmer;VER;0,10;0,47
rébus;NOM;0,10;1,28
rédemptoriste;NOM;0,10;0,00
réflexif;ADJ;0,10;0,14
régimentaire;ADJ;0,10;0,41
régleur;NOM;0,10;1,82
réinterprétation;NOM;0,10;0,07
résigné;NOM;0,10;3,45
réséda;NOM;0,10;0,41
rêveusement;ADV;0,10;3,45
rônin;NOM;0,10;0,00
sacristine;NOM;0,10;0,07
sadomasochiste;NOM;0,10;0,00
salicine;NOM;0,10;0,00
saloir;NOM;0,10;0,74
sampler;NOM;0,10;0,00
sans-façon;NOM;0,10;0,14
sapotille;NOM;0,10;0,00
sara;NOM;0,10;0,00
sarcoïdose;NOM;0,10;0,00
sardonique;ADJ;0,10;1,01
sauve-qui-peut;NOM;0,10;0,68
savonnage;NOM;0,10;0,07
saxonne;NOM;0,10;0,00
saynète;NOM;0,10;0,74
scannage;NOM;0,10;0,00
scolaire;NOM;0,10;0,07
scoumoune;NOM;0,10;0,20
seaborgium;NOM;0,10;0,00
semtex;NOM;0,10;0,00
sertao;NOM;0,10;0,07
ses;PRO:pos;0,10;0,00
shogoun;NOM;0,10;0,00
shrapnel;NOM;0,10;0,34
sismographe;NOM;0,10;0,14
slow;NOM;0,10;2,16
slug;NOM;0,10;0,00
socialisation;NOM;0,10;0,00
soft;NOM;0,10;0,00
soignant;NOM;0,10;0,27
sophiste;NOM;0,10;0,47
soupière;NOM;0,10;2,43
sourdingue;ADJ;0,10;1,42
sous-secrétariat;NOM;0,10;0,00
sous-évaluer;VER;0,10;0,00
species;NOM;0,10;0,07
spiritualiser;VER;0,10;0,74
squeeze;NOM;0,10;0,07
statique;NOM;0,10;0,07
statisticien;NOM;0,10;0,00
stokes;NOM;0,10;0,00
stroboscopique;ADJ;0,10;0,00
subventionné;ADJ;0,10;0,14
sud-vietnamien;ADJ;0,10;0,07
sulfaté;ADJ;0,10;0,07
superintendant;NOM;0,10;0,14
sureffectif;NOM;0,10;0,00
surentraînement;NOM;0,10;0,00
suret;ADJ;0,10;0,27
surprise-party;NOM;0,10;0,07
surprotecteur;NOM;0,10;0,00
surréalisme;NOM;0,10;1,96
sébacé;ADJ;0,10;0,14
tanné;ADJ;0,10;2,97
tarin;NOM;0,10;2,91
taxinomie;NOM;0,10;0,14
tchékhovien;ADJ;0,10;0,00
tectonique;ADJ;0,10;0,07
tempera;NOM;0,10;0,00
tercer;VER;0,10;0,07
thaler;NOM;0,10;0,07
thermo;NOM;0,10;0,00
thrène;NOM;0,10;0,00
timidement;ADV;0,10;11,22
timon;NOM;0,10;2,09
touillé;ADJ;0,10;0,20
tourbière;NOM;0,10;0,88
tourd;NOM;0,10;0,00
tout-terrain;ADJ;0,10;0,00
tracassier;ADJ;0,10;0,27
tractoriste;NOM;0,10;0,20
trentenaire;ADJ;0,10;0,14
trompeter;VER;0,10;0,00
trotteur;NOM;0,10;0,88
trémie;NOM;0,10;0,41
trépidation;NOM;0,10;1,96
tsariste;ADJ;0,10;0,34
typologie;NOM;0,10;0,20
télétexte;NOM;0,10;0,00
télétype;NOM;0,10;0,07
tétrarque;NOM;0,10;0,47
ultra-catholique;ADJ;0,10;0,00
ultrasecret;ADJ;0,10;0,07
umbanda;NOM;0,10;0,00
uniformiser;VER;0,10;0,54
unilatéralement;ADV;0,10;0,41
usuellement;ADV;0,10;0,00
vampiriser;VER;0,10;0,20
varsovien;NOM;0,10;0,00
