lemme;genre;freq
palais;m;58,72
a;m;58,65
matière;f;58,45
univers;m;58,45
circonstance;f;58,24
grille;f;58,24
rang;m;58,24
territoire;m;58,24
pitié;f;58,11
promenade;f;58,11
ferme;f;58,04
humeur;f;58,04
siège;m;57,91
queue;f;57,84
vitesse;f;57,84
aube;f;57,77
chaîne;f;57,77
grâce;f;57,70
angle;m;57,64
col;m;57,43
acte;m;57,30
surface;f;57,09
crâne;m;56,82
abri;m;56,76
assiette;f;56,62
ennui;m;56,62
chaussure;f;56,49
résistance;f;56,49
violence;f;56,49
cave;f;56,35
dessin;m;56,28
bleu;m;56,22
récit;m;56,15
costume;m;55,88
fusil;m;55,68
colline;f;55,61
devoir;m;55,54
danger;m;55,27
bonne;f;55,20
puissance;f;55,20
tort;m;55,00
hôpital;m;54,93
lieutenant;m;54,93
diable;m;54,80
recherche;f;54,80
baiser;m;54,59
portrait;m;54,59
lecture;f;54,53
plateau;m;54,53
poisson;m;54,46
curiosité;f;54,39
cercle;m;54,26
coude;m;54,19
cadavre;m;54,05
million;m;54,05
meuble;m;53,99
arrêt;m;53,92
maîtresse;f;53,92
rendez-vous;m;53,72
succès;m;53,72
charme;m;53,45
vache;f;53,45
boue;f;53,31
région;f;53,31
calme;m;53,24
naissance;f;52,91
santé;f;52,70
sexe;m;52,70
aise;f;52,64
couteau;m;52,64
crainte;f;52,64
haine;f;52,50
relation;f;52,36
défense;f;52,30
valeur;f;52,30
erreur;f;52,09
curé;m;51,82
génie;m;51,62
soie;f;51,62
bonjour;m;51,55
réserve;f;51,55
fortune;f;51,49
choix;m;51,42
juin;m;51,28
moteur;m;51,08
mystère;m;51,01
nuque;f;50,95
cadeau;m;50,81
camion;m;50,74
reflet;m;50,74
discours;m;50,54
article;m;50,34
plafond;m;50,34
risque;m;50,27
navire;m;50,20
oeuf;m;50,14
uniforme;m;50,14
colonne;f;50,07
creux;m;49,93
règle;f;49,93
seuil;m;49,86
adresse;f;49,80
commandant;m;49,80
difficulté;f;49,80
crise;f;49,73
est;m;49,73
os;m;49,73
août;m;49,66
pente;f;49,66
jupe;f;49,59
saison;f;49,59
obscurité;f;49,39
talon;m;49,26
source;f;49,19
dossier;m;49,12
canon;m;48,99
restaurant;m;48,99
boutique;f;48,92
leçon;f;48,72
tristesse;f;48,72
clé;f;48,58
imagination;f;48,58
apparence;f;48,51
mission;f;48,45
corde;f;48,38
vol;m;48,31
pot;m;48,04
usage;m;47,97
montre;f;47,84
avenue;f;47,70
sourcil;m;47,64
juillet;m;47,57
principe;m;47,57
sommet;m;47,50
illusion;f;47,36
linge;m;47,30
commandement;m;47,23
limite;f;47,23
misère;f;47,23
nation;f;47,23
souffrance;f;47,16
système;m;46,96
désespoir;m;46,89
flanc;m;46,89
fleuve;m;46,89
mouche;f;46,89
sensation;f;46,89
origine;f;46,82
taxi;m;46,82
façade;f;46,76
inquiétude;f;46,76
retard;m;46,62
style;m;46,62
chanson;f;46,55
cellule;f;46,28
explication;f;46,28
épreuve;f;46,28
domaine;m;46,22
victime;f;46,22
plaque;f;46,15
rive;f;46,15
poignée;f;46,08
révolution;f;46,08
grange;f;46,01
témoin;m;46,01
flot;m;45,95
prière;f;45,95
rythme;m;45,95
écho;m;45,95
date;f;45,74
toilette;f;45,68
décor;m;45,61
hippo;m;45,61
accent;m;45,54
armoire;f;45,54
ongle;m;45,47
rage;f;45,34
bébé;m;45,20
hâte;f;45,20
fesse;f;45,14
atelier;m;45,07
crime;m;45,07
disposition;f;45,07
moustache;f;45,07
libération;f;45,00
viande;f;45,00
botte;f;44,93
carton;m;44,86
clef;f;44,86
thé;m;44,86
accident;m;44,80
dizaine;f;44,73
métal;m;44,73
élan;m;44,73
appareil;m;44,66
opinion;f;44,66
tâche;f;44,53
base;f;44,46
bouton;m;44,46
différence;f;44,46
juge;m;44,46
choc;m;44,19
cimetière;m;44,19
dépit;m;44,12
menace;f;44,12
chagrin;m;44,05
paille;f;44,05
cheminée;f;43,99
parc;m;43,99
respect;m;43,85
gendarme;m;43,72
rivière;f;43,72
automne;m;43,65
repos;m;43,58
septembre;m;43,58
séjour;m;43,58
division;f;43,51
solution;f;43,51
texte;m;43,24
marbre;m;43,04
vers;m;43,04
usine;f;42,97
prétexte;m;42,91
alcool;m;42,84
cadre;m;42,84
poignet;m;42,84
statue;f;42,84
fièvre;f;42,64
brume;f;42,57
message;m;42,57
ange;m;42,50
zone;f;42,50
millier;m;42,43
roue;f;42,43
coupe;f;42,23
désordre;m;42,23
disque;m;42,16
miracle;m;42,16
chant;m;42,03
certitude;f;41,89
désert;m;41,89
période;f;41,89
tabac;m;41,89
cage;f;41,82
centaine;f;41,82
lutte;f;41,82
presse;f;41,82
vision;f;41,82
carreau;m;41,69
revanche;f;41,62
comptoir;m;41,55
planche;f;41,55
volet;m;41,55
filet;m;41,49
pli;m;41,42
savoir;m;41,42
enfer;m;41,35
métro;m;41,35
aspect;m;41,28
barque;f;41,28
charge;f;41,28
chute;f;41,28
satisfaction;f;41,22
sou;m;41,22
piste;f;41,15
photographie;f;41,08
bibliothèque;f;40,74
frontière;f;40,47
secours;m;40,47
balcon;m;40,41
putain;f;40,41
unité;f;40,41
rigueur;f;40,34
promesse;f;40,20
retraite;f;40,14
demande;f;40,07
regret;m;40,00
drame;m;39,93
évidence;f;39,93
don;m;39,86
mise;f;39,86
plaine;f;39,86
régime;m;39,73
équilibre;m;39,73
série;f;39,59
rocher;m;39,53
ruine;f;39,39
organisation;f;39,12
sécurité;f;39,12
mieux;m;38,99
activité;f;38,92
luxe;m;38,85
bloc;m;38,78
lycée;m;38,78
télégramme;m;38,78
chapitre;m;38,65
masque;m;38,65
caillou;m;38,58
casquette;f;38,58
défaut;m;38,45
empereur;m;38,45
vertu;f;38,45
lien;m;38,38
résultat;m;38,38
entreprise;f;38,31
indifférence;f;38,31
huile;f;38,18
bière;f;38,11
talent;m;38,11
adieu;m;38,04
prise;f;38,04
public;m;38,04
soupe;f;38,04
rumeur;f;37,97
fonction;f;37,91
salaud;m;37,84
génération;f;37,77
vrai;m;37,77
marque;f;37,70
dehors;m;37,64
drapeau;m;37,64
rat;m;37,64
drifter;m;37,50
samedi;m;37,43
langage;m;37,36
culotte;f;37,30
ouvrage;m;37,30
volant;m;37,30
conviction;f;37,23
manque;m;37,23
intelligence;f;37,16
bouquet;m;37,09
lame;f;37,09
tiroir;m;37,09
attaque;f;37,03
laine;f;37,03
réflexion;f;37,03
littérature;f;36,89
bâtiment;m;36,82
perspective;f;36,76
atmosphère;f;36,69
large;m;36,62
sentier;m;36,62
tronc;m;36,62
information;f;36,55
mépris;m;36,55
cabinet;m;36,49
changement;m;36,42
reprise;f;36,42
pote;m;36,35
écriture;f;36,35
octobre;m;36,28
perte;f;36,28
chevalier;m;36,15
cuivre;m;36,08
instrument;m;36,08
gant;m;36,01
précaution;f;36,01
revoir;m;36,01
carrefour;m;35,95
grain;m;35,95
modèle;m;35,95
soupir;m;35,95
chapelle;f;35,88
fantôme;m;35,88
velours;m;35,88
messe;f;35,68
soulier;m;35,68
vallée;f;35,68
boulot;m;35,61
enthousiasme;m;35,61
soif;f;35,54
fraîcheur;f;35,47
paume;f;35,47
mensonge;m;35,41
orage;m;35,41
veine;f;35,41
mémé;f;35,34
pouce;m;35,34
danse;f;35,27
instinct;m;35,27
brouillard;m;35,20
ceinture;f;35,20
assemblée;f;35,14
pompe;f;35,14
cabine;f;35,07
religion;f;35,07
serviette;f;35,07
plante;f;35,00
éclair;m;35,00
race;f;34,93
chocolat;m;34,86
conséquence;f;34,86
tombe;f;34,86
moine;m;34,73
tissu;m;34,66
trésor;m;34,66
vert;m;34,66
cloche;f;34,59
mouchoir;m;34,59
muscle;m;34,53
écart;m;34,53
acier;m;34,46
formule;f;34,39
placard;m;34,39
canne;f;34,32
équipe;f;34,32
bagnole;f;34,26
fuite;f;34,26
aiguille;f;34,19
cravate;f;34,12
tasse;f;34,12
matinée;f;34,05
rein;m;34,05
vitrine;f;33,99
fureur;f;33,92
revue;f;33,92
tradition;f;33,92
portée;f;33,85
impatience;f;33,78
nécessité;f;33,78
reine;f;33,78
oreiller;m;33,72
tranchée;f;33,72
villa;f;33,72
échec;m;33,72
population;f;33,65
rond;m;33,65
patience;f;33,58
discussion;f;33,51
orgueil;m;33,45
marin;m;33,38
merveille;f;33,31
assurance;f;33,24
mme;f;33,24
sel;m;33,24
panier;m;33,18
chiffre;m;33,11
caresse;f;33,04
novembre;m;33,04
couche;f;32,91
démarche;f;32,91
ménage;m;32,91
niveau;m;32,91
enveloppe;f;32,84
lac;m;32,84
paire;f;32,84
pipe;f;32,84
dignité;f;32,77
sucre;m;32,77
wagon;m;32,77
admiration;f;32,70
apparition;f;32,64
blouse;f;32,64
profondeur;f;32,64
blessure;f;32,57
proie;f;32,50
pré;m;32,50
index;m;32,43
pile;f;32,43
échange;m;32,43
hanche;f;32,36
séance;f;32,36
quant;f;32,30
carré;m;32,23
assaut;m;32,16
avantage;m;32,16
galerie;f;32,16
gâteau;m;32,16
semblant;m;32,09
avril;m;32,03
liaison;f;31,96
manivelle;f;31,96
racine;f;31,96
étonnement;m;31,96
pire;m;31,89
tenue;f;31,89
carnet;m;31,82
obus;m;31,82
poule;f;31,82
respiration;f;31,82
échelle;f;31,76
concours;m;31,69
faiblesse;f;31,62
faveur;f;31,62
murmure;m;31,62
éternité;f;31,62
brique;f;31,55
cahier;m;31,55
grimace;f;31,49
phare;m;31,49
dire;m;31,42
individu;m;31,42
mars;m;31,42
piano;m;31,28
second;m;31,28
tempête;f;31,28
virginie;m;31,28
